"YEAR","HARV_ORCH","HARV_PRIVATE","PERCENT","HARV_TOTAL"
2002,165974000,,,
2003,140651000,,,
2004,146894000,,,
2005,134094000,,,
2006,136385000,,,
2007,115813860,,,
2008,154063210,,,
2009,141995650,,,
2010,99800980,,,
2011,84594210,,,
2012,118709310,,,
2013,121802510,,,
2014,128291670,,,
2015,155360810,,,
2016,124997170,,,
2017,105279590,101903000,0.9679274017,207182590
2018,151528000,101903000,0.6725027718,253431000
2019,99496190,92645000,0.9311411824,192141190
2020,115585430,94295000,0.8158035143,209880430
2021,114957700,92404000,0.8038087053,207361700
2022,131352750,92151000,0.7015536409,223503750
2023,101017480,86060000,0.8519317647,187077480
