"YEAR","IMPORT_KG","EXPORT_KG","HARV_ORCH","HARV_PRIVATE","HARVEST_KG","CONSUMPTION_KG","POPULATION","REPORTER_TXT","PARTNER_TXT","CMD_CODE","CMD_TXT"
2011,48606600,23671400,84594210,,,209717652.42,10496379,"Czechia","World","080810","Fruit, edible; apples, fresh"
2012,59254100,106174900,118709310,,,200866452.15,10511065,"Czechia","World","080810","Fruit, edible; apples, fresh"
2013,71360105,70095826,121802510,,,212211416.61,10510719,"Czechia","World","080810","Fruit, edible; apples, fresh"
2014,76356858,58707432,128291670,,,223230647.43,10524783,"Czechia","World","080810","Fruit, edible; apples, fresh"
2015,83858434,112952274,155360810,,,235318465.44,10542942,"Czechia","World","080810","Fruit, edible; apples, fresh"
2016,82720982,72014428,124997170,,,249974619.44,10565284,"Czechia","World","080810","Fruit, edible; apples, fresh"
2017,77240053.89,35589050,105279590,101903000,207182590,236252325.06,10589526,"Czechia","World","080810","Fruit, edible; apples, fresh"
2018,127359308.016,55489554,151528000,101903000,253431000,253546619.8,10626430,"Czechia","World","080810","Fruit, edible; apples, fresh"
2019,124750766,41549645,99496190,92645000,192141190,255210230.08,10669324,"Czechia","World","080810","Fruit, edible; apples, fresh"
2020,157265352,43213255.055,115585430,94295000,209880430,262795806.8,10700155,"Czechia","World","080810","Fruit, edible; apples, fresh"
2021,124419275.462,38169285.448,114957700,92404000,207361700,264306394.5,10500850,"Czechia","World","080810","Fruit, edible; apples, fresh"
2022,116237146.968,60199889.121,131352750,92151000,223503750,265867862.75,10759525,"Czechia","World","080810","Fruit, edible; apples, fresh"
2023,126182718.026,34010946.038,101017480,86060000,187077480,,10759295,"Czechia","World","080810","Fruit, edible; apples, fresh"
