"YEAR_MO","YEAR","MONTH","REPORTER_CODE","REPORTER_TXT","FLOW","PARTNER_CODE","PARTNER_TXT","CMD_CODE","CMD_TXT","NET_WGT","PRIM_VALUE"
"2011-01-01","2011","1","CZE","Czechia","Export","ESP","Spain","080810","Fruit, edible; apples, fresh",0,71288.96
"2011-01-01","2011","1","CZE","Czechia","Export","AUT","Austria","080810","Fruit, edible; apples, fresh",0,95443.84
"2011-01-01","2011","1","CZE","Czechia","Export","POL","Poland","080810","Fruit, edible; apples, fresh",0,125904.64
"2011-01-01","2011","1","CZE","Czechia","Export","ESP","Spain","0808","Apples, pears and quinces; fresh",0,71288.96
"2011-01-01","2011","1","CZE","Czechia","Export","AUT","Austria","0808","Apples, pears and quinces; fresh",0,95483.92
"2011-01-01","2011","1","CZE","Czechia","Export","POL","Poland","0808","Apples, pears and quinces; fresh",0,126559.28
"2011-01-01","2011","1","CZE","Czechia","Export","W00","World","080810","Fruit, edible; apples, fresh",0,1320021.44
"2011-01-01","2011","1","CZE","Czechia","Export","W00","World","0808","Apples, pears and quinces; fresh",0,1454276.08
"2011-01-01","2011","1","CZE","Czechia","Export","RUS","Russian Federation","0808","Apples, pears and quinces; fresh",119500,96485.92
"2011-01-01","2011","1","CZE","Czechia","Export","SVK","Slovakia","0808","Apples, pears and quinces; fresh",789100,745474.64
"2011-01-01","2011","1","CZE","Czechia","Export","DEU","Germany","0808","Apples, pears and quinces; fresh",536400,318983.36
"2011-01-01","2011","1","CZE","Czechia","Export","RUS","Russian Federation","080810","Fruit, edible; apples, fresh",119500,96485.92
"2011-01-01","2011","1","CZE","Czechia","Export","DEU","Germany","080810","Fruit, edible; apples, fresh",535800,317914.56
"2011-01-01","2011","1","CZE","Czechia","Export","SVK","Slovakia","080810","Fruit, edible; apples, fresh",679700,612983.52
"2011-01-01","2011","1","CZE","Czechia","Import","ESP","Spain","080810","Fruit, edible; apples, fresh",17900,13146.24
"2011-01-01","2011","1","CZE","Czechia","Import","BEL","Belgium","080810","Fruit, edible; apples, fresh",310500,262136.56
"2011-01-01","2011","1","CZE","Czechia","Import","NLD","Netherlands","080810","Fruit, edible; apples, fresh",139600,120280.08
"2011-01-01","2011","1","CZE","Czechia","Import","ITA","Italy","080810","Fruit, edible; apples, fresh",2451500,1979324.08
"2011-01-01","2011","1","CZE","Czechia","Import","AUT","Austria","080810","Fruit, edible; apples, fresh",167300,218569.6
"2011-01-01","2011","1","CZE","Czechia","Import","SVK","Slovakia","080810","Fruit, edible; apples, fresh",1175000,902080.56
"2011-01-01","2011","1","CZE","Czechia","Import","POL","Poland","080810","Fruit, edible; apples, fresh",231300,168963.92
"2011-01-01","2011","1","CZE","Czechia","Import","POL","Poland","0808","Apples, pears and quinces; fresh",231300,168963.92
"2011-01-01","2011","1","CZE","Czechia","Import","SVK","Slovakia","0808","Apples, pears and quinces; fresh",1277500,1002467.6
"2011-01-01","2011","1","CZE","Czechia","Import","AUT","Austria","0808","Apples, pears and quinces; fresh",167800,219638.4
"2011-01-01","2011","1","CZE","Czechia","Import","ITA","Italy","0808","Apples, pears and quinces; fresh",2572600,2142476.4
"2011-01-01","2011","1","CZE","Czechia","Import","BEL","Belgium","0808","Apples, pears and quinces; fresh",502200,463351.52
"2011-01-01","2011","1","CZE","Czechia","Import","ESP","Spain","0808","Apples, pears and quinces; fresh",36700,33172.88
"2011-01-01","2011","1","CZE","Czechia","Import","DEU","Germany","0808","Apples, pears and quinces; fresh",566400,635615.36
"2011-01-01","2011","1","CZE","Czechia","Import","DEU","Germany","080810","Fruit, edible; apples, fresh",496300,490539.12
"2011-01-01","2011","1","CZE","Czechia","Import","HUN","Hungary","0808","Apples, pears and quinces; fresh",0,334
"2011-01-01","2011","1","CZE","Czechia","Import","NLD","Netherlands","0808","Apples, pears and quinces; fresh",0,437580.08
"2011-01-01","2011","1","CZE","Czechia","Import","HUN","Hungary","080810","Fruit, edible; apples, fresh",0,334
"2011-01-01","2011","1","CZE","Czechia","Import","W00","World","0808","Apples, pears and quinces; fresh",0,5103600.16
"2011-01-01","2011","1","CZE","Czechia","Import","W00","World","080810","Fruit, edible; apples, fresh",0,4155374.16
"2011-02-01","2011","2","CZE","Czechia","Import","HUN","Hungary","0808","Apples, pears and quinces; fresh",0,532.311
