EMPTY,Plocha sadů,hustota výsadby (stromy/ha),EMPTY,EMPTY,EMPTY
EMPTY,EMPTY,do 399,400-1 599,1 600-3 199,3 200 a více
EMPTY,CELKEM,"1,827.67","5,910.77","2,448.07",300.50
Boskoop Rouge,29.16,25.88,2.77,0.51,-
Braeburn,136.95,0.43,14.47,84.17,37.88
Cox Orange,13.17,4.76,8.41,-,-
Elstar,41.88,0.30,25.70,3.64,12.24
Fuji,13.30,0.05,0.42,3.10,9.73
Gala,339.64,8.39,65.27,228.91,37.07
Golden Delicious,"2,065.52",115.76,"1,104.51",776.56,68.69
Granny Smith,11.88,4.52,1.28,5.58,0.50
Idared,"1,786.40",118.66,"1,387.66",254.53,25.55
Jonagold/Jonagored,724.84,48.70,212.99,423.91,39.24
Pinova,16.34,.,.,16.32,-
Red Delicious,160.21,25.43,128.71,6.07,-
Shampion,560.65,68.22,339.45,118.49,34.49
ostatní,"4,587.07","1,406.55","2,619.13",526.28,35.11
