EMPTY,Plocha sadů,hustota výsadby (stromy/ha),EMPTY,EMPTY,EMPTY
EMPTY,EMPTY,do 399,400-1 599,1 600-3 199,3 200 a více
EMPTY,CELKEM,878.71,"4,135.21","2,497.35",307.33
Boskoop Rouge,21.31,19.54,1.77,-,-
Braeburn,224.80,0.17,28.08,162.03,34.52
Cox Orange,7.44,3.85,3.59,-,-
Elstar,11.62,i.d.,7.38,4.17,i.d.
Fuji,28.85,i.d.,2.25,18.84,i.d.
Gala,467.19,1.27,61.85,354.15,49.93
Golden Delicious,"1,530.83",21.75,717.40,682.61,109.07
Granny Smith,7.88,4.79,i.d.,i.d.,i.d.
Idared,"1,288.65",95.16,931.59,230.33,31.56
Jonagold/Jonagored,688.30,11.47,205.81,432.33,38.68
Pinova,0.55,0.09,i.d.,i.d.,-
Red Delicious,109.02,22.20,61.84,9.27,15.71
Shampion,456.07,61.03,264.16,128.30,2.58
ostatní,"2,976.09",637.33,"1,848.91",472.74,17.10
