 ,Celkem,Jádroviny,jabloně,hrušně,ostatní jádroviny,Peckoviny,broskvoně,meruňky,"slivoně, švestky",švestky pravé a pološvestky,"slívy, renklódy a mirabelky",třešně,višně,ostatní peckoviny,Bobuloviny a drobné ovoce,rybízy,rybíz černý,rybíz červený a bílý,angrešty,maliníky,borůvka,ostatní bobuloviny a drobné ovoce,Skořápkoviny,ořešáky vlašské,ostatní skořápkoviny
2002,17486.132,.,9877.456,348.028,.,.,544.117,515.146,432.591,225.833,206.758,326.677,899.838,.,.,4397.11,.,.,110.48,x,x,x,.,34.689,.
2003,17945.991,.,10168.909,385.205,.,.,589.88,472.341,466.7,241.358,225.342,437.342,929.063,.,.,4343.844,.,.,118.022,x,x,x,.,34.685,.
2004,18776.936,.,10740.572,428.929,.,.,551.772,492.921,543.889,307.878,236.011,360.639,882.749,.,.,4634.218,.,.,110.155,x,x,x,.,31.092,.
2005,19783.715,.,11485.721,491.717,.,.,522.391,487.76,654.962,376.766,278.196,400.376,942.133,.,.,4653.533,.,.,112.392,x,x,x,.,32.73,.
2006,18038.173,.,10369.658,464.256,.,.,495.82,484.262,693.795,395.176,298.619,359.353,844.411,.,.,4236.661,.,.,64.516,x,x,x,.,25.441,.
2007,21859.597,.,11855.648,574.363,.,.,542.398,705.762,848.578,436.409,412.169,446.695,1005.859,.,.,5782.514,.,.,66.821,x,x,x,.,30.959,.
2008,20555.415,.,11472.979,584.351,.,.,477.988,567.257,953.833,460.602,493.231,376.211,908.416,.,.,5146.406,.,.,40.674,x,x,x,.,27.3,.
2009,20808.842,.,11849.078,877.97,.,.,451.318,546.637,953.509,517.994,435.515,432.558,915.152,.,.,4711.797,.,.,43.077,x,x,x,.,27.746,.
2010,20684.334,.,11802.693,937.792,.,.,400.569,528.444,890.246,517.249,372.997,410.39,864.113,.,.,4792.982,.,.,25.91,x,x,x,.,31.195,.
2011,19940.462,.,11496.097,961.043,.,.,368.384,497.552,1018.314,527.247,491.067,427.627,771.992,.,.,4342.482,.,.,24.145,x,x,x,.,32.826,.
2012,20301.978,.,11845.045,1000,.,.,313.67,503.041,1013.827,700.072,313.755,428.26,734.408,.,.,4406.481,.,.,23.133,x,x,x,.,34.113,.
2013,19908.179,.,11669.493,962.838,.,.,291.679,511.548,1033.204,716.309,316.895,428.362,712.002,.,.,4232.799,.,.,28.827,x,x,x,.,37.427,.
2014,19950.729,.,11989.265,937.867,.,.,270.035,516.805,1029.309,752.41,276.899,433.103,761.996,.,.,3949.137,.,.,28.676,x,x,x,.,34.536,.
2015,18732.591,.,10942.731,945.176,.,.,234.969,508.054,1028.471,780.201,248.27,468.069,720.13,.,.,3813.991,.,.,20.332,x,x,x,.,50.668,.
2016,17750.367,.,10578.614,944.033,.,.,212.773,503.514,1016.191,773.036,243.155,471.589,735.683,.,.,3219.298,.,.,19.681,x,x,x,.,48.991,.
2017,17866.826,.,10806.057,927.18,.,.,190.3,541.809,962.918,828.322,134.596,488.348,726.211,.,.,3151.994,.,.,19.31,x,x,x,.,52.699,.
2018,17561.741,.,10573.699,936.49,.,.,172.33,518.831,984.488,842.913,141.575,486.623,724.711,.,.,3084.868,.,.,21.799,x,x,x,.,57.902,.
2019,18084.294,.,10942.476,942.874,.,.,162.006,536.841,1097.625,948.918,148.707,504.581,712.842,.,.,3118.751,.,.,24.004,x,x,x,.,42.294,.
2020,18075.076,.,10914.042,1001.694,.,.,135.834,524.281,1118.98,1005.626,113.354,514.918,722.576,.,.,3074.872,.,.,24.368,x,x,x,.,43.511,.
2021,17581.971,.,10695.674,976.045,.,.,118.718,528.968,1137.939,1027.691,110.248,514.012,693.4,.,.,2854.21,.,.,21.116,x,x,x,.,41.889,.
2022,16816.886,.,10339.63,961.54,.,.,88.613,525.643,1144.002,1034.799,109.203,501.057,699.576,.,.,2497.619,.,.,18.222,x,x,x,.,40.984,.
2023,16133.443,10635.857,9662.206,970.615,3.036,2919.297,96.989,516.732,1083.495,.,.,530.029,689.765,2.287,2534.862,2534.862,1098.523,1436.339,.,x,x,x,43.427,41.162,2.265
