COUNTRY,FRUIT,OBS_VALUE_2002,OBS_VALUE_2007,OBS_VALUE_2012,OBS_VALUE_2017
AT,APC,469.78,593.95,850.72,1004.61
BG,APC,,2610.4,2942.87,3388.23
CY,APC,,269,179.97,185.98
CZ,APC,,1788.41,1636.88,1152.21
DE,APC,,,0,
DK,APC,,,0,
EE,APC,,,0,
EL,APC,4994.2,3928.53,4670.81,4902.68
ES,APC,22615.4,18699.9,20349.59,24064.83
EU28,APC,,,67592.98,75697.21
FI,APC,,,0,
FR,APC,14924.2,13804.3,12488.62,13615.65
HR,APC,,,212,
HU,APC,,4999.37,3836.05,5404.22
IE,APC,,,0,
IT,APC,15574.5,15648.9,16590.80,18893.85
LT,APC,,,0,
LU,APC,,,0,
LV,APC,,,0,
MT,APC,,,,
NL,APC,,,0,
PL,APC,,1059.65,680.44,723.12
PT,APC,490.91,282.86,402,
RO,APC,,3434.19,2712.94,2361.81
SE,APC,,,0,
SI,APC,,22.86,39.3,
SK,APC,,227.34,,
UK,APC,,,0,
AT,APD,6952.41,7229.32,7907.95,7674.63
BE,APD,8248.89,6833.05,6398.20,5788.59
BG,APD,,4121.39,5239.10,4957.99
CY,APD,,925,527.56,376.76
CZ,APD,,9895.36,10487.01,7818.60
DE,APD,28050.1,27887.8,27708.54,28260.96
DK,APD,1397.58,1506.5,1347.53,1254.98
EE,APD,,690.2,600,
EL,APD,10379,9336.84,8703.93,9377.35
ES,APD,36292.6,24821.9,22646.43,23222.34
EU28,APD,,,440997.78,463271.49
FI,APD,515.62,436.68,666.51,
FR,APD,47593.3,40113.1,36741.17,38298.30
HR,APD,,,4798.64,4459.08
HU,APD,,33793.1,25265.30,25044.02
IE,APD,150.66,149.41,121.59,
IT,APD,54285.1,55224.8,52251.41,55809.89
LT,APD,,2427.8,1401.10,1511.60
LU,APD,914.2,29.97,39,
LV,APD,,1299.5,2390.50,3191.10
MT,APD,,,,
NL,APD,11176.4,9379.99,7948.05,6949.59
PL,APD,,165715,143113.34,160843.80
PT,APD,13631.3,11711,10095.18,11306.18
RO,APD,,60494.3,51225.74,55050.45
SE,APD,1342.42,1101.83,1494.10,1655.28
SI,APD,,2438.48,2701.93,2355.44
SK,APD,,2655.86,3781.58,2321.44
UK,APD,5627.97,4810.08,5396.40,5743.08
BG,API,,,0.00,190.09
CZ,API,,,0,
DE,API,,,4029.51,5719.69
DK,API,,,0,59.00
EE,API,,,0,
ES,API,,,4107.46,4309.61
EU28,API,,,8630.91,10278.39
FI,API,,,0,
FR,API,,,0,
HR,API,,,0,
IE,API,,,493.94,
LU,API,,,0,
LV,API,,,0,
MT,API,,,0,
NL,API,,,0,
RO,API,,,0,
SE,API,,,0,0.00
SK,API,,,0,
BG,GRV,,,0.00,2738.02
CZ,GRV,,,0,
DE,GRV,,,0,
DK,GRV,,,0,
EE,GRV,,,0,
ES,GRV,,,11391.23,12547.64
EU28,GRV,,,57142.73,60351.40
FI,GRV,,,0,
FR,GRV,,,4869.17,
IE,GRV,,,0,
IT,GRV,,,35663.25,39714.54
LT,GRV,,,0,
LU,GRV,,,0,
LV,GRV,,,0,
RO,GRV,,,5219.08,5351.19
SE,GRV,,,0,
UK,GRV,,,0,
AT,LEM,,0,0,
BE,LEM,,0,0,
BG,LEM,,0,0.00,
CY,LEM,,665,368.56,312.09
CZ,LEM,,0,0,
DE,LEM,0,0,0,
DK,LEM,,0,0,
EE,LEM,,0,0,
EL,LEM,6168.92,5180.49,3681.87,3984.61
ES,LEM,43851.3,39859,33303.03,39107.85
EU28,LEM,,,54865.55,60098.50
FI,LEM,,0,0,
FR,LEM,36.84,22.VII,793.45,
HR,LEM,,,,
HU,LEM,,0,0,
IE,LEM,,0,0,
IT,LEM,17619.8,16633.6,15843.64,16693.97
LT,LEM,,0,0,
LU,LEM,,0,0,
LV,LEM,,0,0,
MT,LEM,,,,
NL,LEM,,0,0,
PL,LEM,,0,0,
PT,LEM,356.98,494.04,875,
RO,LEM,,0,0,
SE,LEM,,0,0,
SI,LEM,,0,,
SK,LEM,,0,0,
UK,LEM,,0,0,
AT,OLI,,,0,
BE,OLI,,,0,
BG,OLI,,,0.00,
CY,OLI,,,10802.29,10790.35
CZ,OLI,,,0,
DE,OLI,,,0,
DK,OLI,,,0,
EE,OLI,,,0,
EL,OLI,,,705960.99,670679.36
ES,OLI,,,2478443.97,2505786.08
EU28,OLI,,,4652682.27,4592102.57
FI,OLI,,,0,
FR,OLI,,,17052,15345.23
HR,OLI,,,16553.90,17010.87
HU,OLI,,,0,
IE,OLI,,,0,
IT,OLI,,,1110701.05,1070833.53
LT,OLI,,,0,
LU,OLI,,,0,
LV,OLI,,,0,
MT,OLI,,,,
NL,OLI,,,0,
PL,OLI,,,0,
PT,OLI,,,312276.06,300415.17
RO,OLI,,,0,
SE,OLI,,,0,
SI,OLI,,,892,1241.99
SK,OLI,,,0,
UK,OLI,,,0,
AT,ORA,0,0,0,
BE,ORA,0,0,0,
BG,ORA,,0,0.00,
CY,ORA,,1554,1201.31,1108.67
CZ,ORA,,0,0,
DE,ORA,0,0,0,
DK,ORA,0,0,0,
EE,ORA,,0,0,
EL,ORA,33029.1,32439.9,27017.50,28783.71
ES,ORA,131435,158824,149971.11,135092.23
EU28,ORA,,,267255.34,255533.84
FI,ORA,0,0,0,
FR,ORA,28.96,28.55,801.58,
HR,ORA,,,,
HU,ORA,,0,0,
IE,ORA,0,0,0,
IT,ORA,76042.2,73785.9,77518.88,78347.71
LT,ORA,,0,0,
LU,ORA,0,0,0,
LV,ORA,,0,0,
MT,ORA,,,,
NL,ORA,0,0,0,
PL,ORA,,0,0,
PT,ORA,11582,12416,10744.93,12201.52
RO,ORA,,0,0,
SE,ORA,0,0,0,
SI,ORA,,0,0,
SK,ORA,,0,0,
UK,ORA,0,0,0,
AT,PCD,,,211.01,218.38
BG,PCD,,,3738.45,2795.63
CY,PCD,,,361.60,298.82
CZ,PCD,,,761.38,
DE,PCD,,,0,
DK,PCD,,,0,
EE,PCD,,,0,
EL,PCD,,,32229.10,18434.21
ES,PCD,,,65459.48,73175.58
EU28,PCD,,,180477.45,168020.74
FI,PCD,,,0,
FR,PCD,,,10492.69,10580.89
HR,PCD,,,1042.27,
HU,PCD,,,3627.16,3261.85
IE,PCD,,,0,
IT,PCD,,,56418.52,54195.94
LT,PCD,,,0,
LU,PCD,,,0,
LV,PCD,,,0,
MT,PCD,,,,
NL,PCD,,,0,
PL,PCD,,,1315.26,716.34
