Číslo,Název odrůdy,Návrh názvu,Kód plodiny,Název plodiny,Latinský název plodiny
MAL30748,Acrobat,Acrobat,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33763,Aderslebenský kalvil,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL10899,Admiral,Admiral,4071,Jabloň (plodová),Malus domestica Borkh.
MAL17859,Akerö,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33644,Albrechtovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL19161,Allegro,Allegro,4071,Jabloň (plodová),Malus domestica Borkh.
MAL07983,Ametyst,Ametyst,4071,Jabloň (plodová),Malus domestica Borkh.
MAL10866,Andera,Andera,4071,Jabloň (plodová),Malus domestica Borkh.
MAL01344,Angold,Angold,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12903,Antonovka,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL23868,Antopa,Antopa,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33643,Api hvězdovité,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL14320,Artiga,Artiga,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33642,Astrachán bílý,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13603,Astrachán červený,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00238,Auralia,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13590,Aurora,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12909,Banánové zimní,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12910,Bancroft,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL26866,Barby,Barby,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12911,Batul,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13604,Baumannova reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12946,Beforest,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL10865,Benet,Benet,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12913,Berlepschova reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13605,Bernské růžové,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33641,Biesterfeldská reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL24069,Bismarkovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33640,Black Ben,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00223,Bláhovo oranžové,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL05366,Blaník,Blaník,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12914,Blenheimská reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12915,Boikovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33639,Boikovo obrovské  ,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33638,Boskoopské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL12917,Boskoopské červené,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33637,Braeburn,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL37837,Brilliant,Brilliant,4071,Jabloň (plodová),Malus domestica Borkh.
MAL42128,BR256,Amy,4071,Jabloň (plodová),Malus domestica Borkh.
