rok,plodné celkem,plodné konzumní,plodné zpracování,plodné neuplatněno,extenzivní celkem,extenzivní zpracování,extenzivní samozásobení,extenzivní neuplatněno
2022,138150,75000,54000,9150,97356,28000,48000,21356
2021,110006,70000,38000,2006,97356,28000,48000,21356
2020,117801,75000,40000,2801,92080,25000,45000,22080
2019,102847,62000,35000,5847,89295,10000,50000,29295
2018,144888,75000,54888,15000,108543,25000,55000,28543
2017,101844,65000,36844,,72179,9000,45000,18179
2016,126434,65000,61434,,83156,27000,35000,21156
2015,155640,70000,85640,,103525,38000,40000,25525
2014,130902,62902,68000,,77088,27000,34000,16088
2013,120602,57000,63602,,73886,23000,36000,14886
2012,117897,56897,61000,,83589,65000,15000,3589
2011,79134,42000,37134,,79749,26400,34000,19349
