rok,ovoce_total,ovoce mírného pásma,jablka,hrušky,švestky,třešně,višně,meruňky,broskve,rybíz,angrešt,jahody zahradní,vinné hrozny,lesní plody,ostatní ovoce mírného pásma,jižní ovoce,citróny a grape- fruity,pome- ranče a manda- rinky,banány,ostatní jižní ovoce,ananas,kiwi
1948,57.5,54.8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1949,56.5,54.3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1950,62.9,60.7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1951,42.8,40.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1952,34.7,32.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1953,77.2,74.2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1954,52.7,49.7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1955,47.9,43.7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1956,58.6,56,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1957,39,35.9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1958,66.9,63.7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1959,39.9,36.1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1960,78.8,75.2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1961,45.2,41.3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1962,33.2,29.3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1963,42.1,38.8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1964,39.2,35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1965,33.6,26.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1966,51.3,43.9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
